# Format: "Card Name",SET,https://link-to-png
# Drop your own list here, one card per line, optional quantity prefix.
"Duress",M19,https://cards.scryfall.io/png/front/b/4/b433b9fc-69fc-4a57-a16b-f1afd3033b56.png?1783934571
"Ghostform",M19,https://cards.scryfall.io/png/front/3/4/347760a1-03f5-4cc9-87ad-e08986b1ea21.png?1783934587
"Infectious Horror",M19,https://cards.scryfall.io/png/front/d/1/d17aaa92-10ca-4f70-b45e-5a51e9192efb.png?1783934569
"Pegasus Courser",M19,https://cards.scryfall.io/png/front/0/c/0c04eafe-8be0-416e-a5b9-486a3b3b5984.png?1783934598
"Root Snare",M19,https://cards.scryfall.io/png/front/7/6/76b01fd2-139a-47ed-a8e3-021aa9c91b02.png?1783934529
"Talons of Wildwood",M19,https://cards.scryfall.io/png/front/9/f/9ffa2e83-bc78-4bde-9692-e5165c4ef63b.png?1783934526
"Tormenting Voice",M19,https://cards.scryfall.io/png/front/4/8/48dbbc83-5549-480f-bf98-da90495d2a29.png?1783934543
"Tranquil Expanse",M19,https://cards.scryfall.io/png/front/7/8/78b33867-5ccf-49a1-8e9b-9d2ddac78f17.png?1783934502
"Fraying Omnipotence",M19,https://cards.scryfall.io/png/front/f/0/f0fa0ad8-854a-4b4e-9f87-e1dfaa11253c.png?1783934570
"Herald of Faith",M19,https://cards.scryfall.io/png/front/4/5/452591ca-7273-4e47-820b-3ff89697a036.png?1783934607
"Regal Bloodlord",M19,https://cards.scryfall.io/png/front/6/5/65a75d3a-58cb-4ee0-88d3-52099cb57ac3.png?1783934518
"Skilled Animator",M19,https://cards.scryfall.io/png/front/5/8/586d5000-1fdb-4bfe-aa34-63b25ee94bb9.png?1783934583
"Suspicious Bookcase",M19,https://cards.scryfall.io/png/front/c/c/ccf01421-856e-4cdd-8938-148928626f56.png?1783934508
"Anticipate",M20,https://cards.scryfall.io/png/front/2/0/2080556a-6c76-4819-9eb2-c4dd4c9dbd67.png?1783933017
"Barony Vampire",M20,https://cards.scryfall.io/png/front/b/0/b0130d04-05f2-44f5-bd6c-8b11f798b69e.png?1783933000
"Ferocious Pup",M20,https://cards.scryfall.io/png/front/2/3/2354cb24-5c70-4aaa-8636-46866f0950c1.png?1783932968
"Frilled Sea Serpent",M20,https://cards.scryfall.io/png/front/b/5/b59698a5-be76-4ce2-a337-9052821f239f.png?1783933010
"Goblin Bird-Grabber",M20,https://cards.scryfall.io/png/front/5/4/54fbbf39-cd52-474a-908e-b7a78cb5eb5b.png?1783932978
"Griffin Sentinel",M20,https://cards.scryfall.io/png/front/c/b/cb13aaa4-d40a-4fb2-9fd6-62bf76db6a13.png?1783933026
"Marauder's Axe",M20,https://cards.scryfall.io/png/front/7/3/73ac5204-69ef-491d-9ca8-f522b99f1412.png?1783932943
"Raise the Alarm",M20,https://cards.scryfall.io/png/front/7/6/764a7a53-314e-4b1f-aa33-0f312d06df71.png?1783933021
"Sorcerer of the Fang",M20,https://cards.scryfall.io/png/front/2/f/2fe9e325-fbe4-4f43-8d68-8525c4d5ce8b.png?1783932988
"Steadfast Sentry",M20,https://cards.scryfall.io/png/front/8/d/8d92614e-05da-4b5c-a98b-addf8ab2de7b.png?1783933019
"Swiftwater Cliffs",M20,https://cards.scryfall.io/png/front/8/0/804db4ef-712f-4a39-a00f-51e99b05274c.png?1783932934
"Scheming Symmetry",M20,https://cards.scryfall.io/png/front/0/1/01acc50b-856d-442d-9880-1a892b40643b.png?1783932988
"Gruesome Scourger",M20,https://cards.scryfall.io/png/front/0/f/0ffbb50e-76ca-4bfd-b6d1-95ab8cf3bbf8.png?1783932992
"Scholar of the Ages",M20,https://cards.scryfall.io/png/front/8/0/80137c9a-ea56-4dc7-a503-43fe192c8fce.png?1783933005
"Wolfrider's Saddle",M20,https://cards.scryfall.io/png/front/b/a/ba18cc9a-411d-45c6-bcc3-9e02ef5e2d92.png?1783932953
"Celestial Enforcer",M21,https://cards.scryfall.io/png/front/4/6/46666fba-d4a7-4687-8747-a42e4c6d853e.png?1783930745
"Colossal Dreadmaw",M21,https://cards.scryfall.io/png/front/8/0/8059c52b-5d25-4052-b48a-e9e219a7a546.png?1783930678
"Crypt Lurker",M21,https://cards.scryfall.io/png/front/c/0/c0bba170-5176-4fab-a10d-e23d70128875.png?1783930711
"Finishing Blow",M21,https://cards.scryfall.io/png/front/2/b/2b85a552-2119-4d9c-b7c1-c09c2d9f2f38.png?1783930707
"Hobblefiend",M21,https://cards.scryfall.io/png/front/4/b/4bfffc18-b36a-4dd5-909e-60ea9f8eb60b.png?1783930687
"Infernal Scarring",M21,https://cards.scryfall.io/png/front/9/7/975e4b8e-add9-439c-9463-e2facee96c10.png?1783930707
"Library Larcenist",M21,https://cards.scryfall.io/png/front/c/b/cb33529b-80bd-4f52-94cc-d8371c53ad75.png?1783930725
"Mistral Singer",M21,https://cards.scryfall.io/png/front/d/9/d961c441-b76b-4bd8-b510-a3e073207a1b.png?1783930725
"Turret Ogre",M21,https://cards.scryfall.io/png/front/d/4/d47e9653-2a3a-4d37-8f3d-3dab4f468338.png?1783930681
"Peer into the Abyss",M21,https://cards.scryfall.io/png/front/a/a/aac00055-640e-4749-8d23-d242e6d0b23a.png?1783930701
"Carrion Grub",M21,https://cards.scryfall.io/png/front/3/1/31df3d95-bbdb-449d-9601-4fa844c3c640.png?1783930712
"Chrome Replicator",M21,https://cards.scryfall.io/png/front/1/e/1e01bcb4-e823-4da5-b433-e75be3356367.png?1783930658
"Rewind",M21,https://cards.scryfall.io/png/front/b/8/b832abcc-9ffd-47bf-827a-01b303c610ee.png?1783930724
"Teferi's Tutelage",M21,https://cards.scryfall.io/png/front/c/2/c26450d4-125f-423d-b074-3c959460c242.png?1783930718
"Bat Whisperer",MID,https://cards.scryfall.io/png/front/4/4/4412c901-0ec8-437a-9d1e-ce318bbe2b03.png?1783925625
"Cathar Commando",MID,https://cards.scryfall.io/png/front/9/8/98cbc1c2-b76e-4da3-aa43-00e10b2ce532.png?1783925664
"Duress",MID,https://cards.scryfall.io/png/front/c/0/c0a72721-2a4a-4d48-a7b0-2370b90b8619.png?1783925619
"Harvesttide Sentry",MID,https://cards.scryfall.io/png/front/9/5/9543cf53-8cf5-49d0-9c60-8b11e21da953.png?1783925579
"Homestead Courage",MID,https://cards.scryfall.io/png/front/7/3/73a9c49f-fcd3-4572-bac7-6eb06fdc0815.png?1783925656
"Island",MID,https://cards.scryfall.io/png/front/6/0/60e6b919-e7c0-4844-a65c-d8b83b3e5287.png?1783925481
"Larder Zombie",MID,https://cards.scryfall.io/png/front/a/7/a7c0dcac-f3d4-4d6e-9c6e-9295bb1cd47f.png?1783925639
"Mourning Patrol // Morning Apparition",MID,
"Neonate's Rush",MID,https://cards.scryfall.io/png/front/d/e/dee17e12-e08f-4449-9f49-05f20e0d1670.png?1783925594
"Shadowbeast Sighting",MID,https://cards.scryfall.io/png/front/1/b/1b12e978-4deb-4ccc-8ae6-462bc4598c90.png?1783925573
"Startle",MID,https://cards.scryfall.io/png/front/3/5/35f68eb3-9b40-4967-a52e-f95aec6e3fbf.png?1783925628
"Tovolar's Huntmaster // Tovolar's Packleader",MID,
"Dissipate",MID,https://cards.scryfall.io/png/front/4/6/4689b3f2-e4b7-448e-b3d4-ab33194aafb2.png?1783925644
"Foul Play",MID,https://cards.scryfall.io/png/front/8/7/87e4b75c-e993-4983-8933-977be314bba6.png?1783925618
"Ritual of Hope",MID,https://cards.scryfall.io/png/front/d/8/d8293903-4604-4516-866e-27a306b6fd7c.png?1783925653
"Agency Coroner",MKM,https://cards.scryfall.io/png/front/d/6/d63f2c23-e877-42e3-9362-5d003a173c6d.png?1783912901
"Cold Case Cracker",MKM,https://cards.scryfall.io/png/front/f/0/f082111b-9b1c-4a25-8c5d-d6ef77533a9b.png?1783912913
"Dog Walker",MKM,https://cards.scryfall.io/png/front/a/6/a6e0adb7-a030-4dcc-9284-cd91c7598a22.png?1783912851
"Offender at Large",MKM,https://cards.scryfall.io/png/front/f/0/f096ff4a-85f4-46f1-9478-e8921f21309d.png?1783912876
"Sanitation Automaton",MKM,https://cards.scryfall.io/png/front/5/2/52608ba4-c47d-44e4-b624-dee2a3a42ae2.png?1783912829
"Shady Informant",MKM,https://cards.scryfall.io/png/front/0/d/0de36e63-8190-415f-b65b-bae1e595845d.png?1783912840
"Vengeful Creeper",MKM,https://cards.scryfall.io/png/front/7/a/7a914416-effd-4eda-b609-2773c53a08ec.png?1783912858
"Expedited Inheritance",MKM,https://cards.scryfall.io/png/front/b/6/b65209da-cf48-4d37-b045-7d181070fd05.png?1783912881
"Case of the Gateway Express",MKM,https://cards.scryfall.io/png/front/0/8/0862bf07-8a76-4e80-bba2-20d22f8eee30.png?1783912927
"Case of the Gorgon's Kiss",MKM,https://cards.scryfall.io/png/front/4/5/45e4c07a-3205-4193-8163-b0e63e6242a4.png?1783912902
"Case of the Shattered Pact",MKM,https://cards.scryfall.io/png/front/2/a/2a70f0ae-d49b-4cc8-9f76-895039c3dc39.png?1783912930
"Deadly Complication",MKM,https://cards.scryfall.io/png/front/7/c/7c68981c-037c-42e7-9b7f-6f07edab5f2e.png?1783912852
"Neighborhood Guardian",MKM,https://cards.scryfall.io/png/front/0/4/0438d482-b74c-4d5e-a2bc-7063c1ae73fa.png?1783912928
"Act of Treason",RNA,https://cards.scryfall.io/png/front/1/f/1f2328c4-7344-48bf-b515-977499bcfd1c.png?1783933686
"Arrester's Zeal",RNA,https://cards.scryfall.io/png/front/b/0/b075a6f2-5196-45e9-b062-f131f7b1a347.png?1783933726
"Chillbringer",RNA,https://cards.scryfall.io/png/front/1/5/158547fa-7313-4e77-949f-afc68ebfb022.png?1783933712
"Consign to the Pit",RNA,https://cards.scryfall.io/png/front/0/9/09991fad-4282-4a17-bfb1-03eaa13502df.png?1783933695
"Get the Point",RNA,https://cards.scryfall.io/png/front/8/2/821c4ab5-eb75-445a-bbec-e50af54dba7a.png?1783933649
"Rakdos Guildgate",RNA,https://cards.scryfall.io/png/front/2/6/26f7e55d-d4c9-4755-ab87-a592ba3fb64f.png?1783933616
"Rakdos Locket",RNA,https://cards.scryfall.io/png/front/4/f/4fd60d9b-2282-4b32-9bff-efb2bcf87d22.png?1783933622
"Shimmer of Possibility",RNA,https://cards.scryfall.io/png/front/7/6/76e3092d-2422-438c-b5dd-bf8eca33a76e.png?1783933703
"Sphinx's Insight",RNA,https://cards.scryfall.io/png/front/d/7/d71c2435-0312-4279-a9e1-fab7432756b7.png?1783933634
"Spikewheel Acrobat",RNA,https://cards.scryfall.io/png/front/5/8/58f70b8a-62ec-4ae6-97d2-3c6ae86a3602.png?1783933675
"Sylvan Brushstrider",RNA,https://cards.scryfall.io/png/front/8/b/8bc288a3-ea56-450a-96fd-c2123121f663.png?1783933664
"Captive Audience",RNA,https://cards.scryfall.io/png/front/0/6/065f63b2-472e-4148-8294-88ed38a5685f.png?1783933656
"Gatebreaker Ram",RNA,https://cards.scryfall.io/png/front/5/e/5ef592d1-e5e1-4252-8741-402c32d65dfd.png?1783933671
"Tin Street Dodger",RNA,https://cards.scryfall.io/png/front/b/3/b3815ab6-87cd-4310-8068-ec721ee10a24.png?1783933673
"Windstorm Drake",RNA,https://cards.scryfall.io/png/front/1/2/120aa3b3-d358-4df3-be39-9b7ce926673a.png?1783933701
"Blood Servitor",VOW,https://cards.scryfall.io/png/front/8/7/87845cc2-bf5d-491d-bfa2-b33b034557a4.png?1783924787
"Desperate Farmer // Depraved Harvester",VOW,
"Gift of Fangs",VOW,https://cards.scryfall.io/png/front/a/8/a864375f-99c3-4c68-9440-bc25ff6d0dc0.png?1783924863
"Kessig Flamebreather",VOW,https://cards.scryfall.io/png/front/3/0/303ad78a-b02a-44dc-afe6-7f95781a5062.png?1783924832
"Massive Might",VOW,https://cards.scryfall.io/png/front/3/a/3a5cd50b-4825-4d85-b0f9-e2a51d2a7df1.png?1783924807
"Nebelgast Beguiler",VOW,https://cards.scryfall.io/png/front/0/4/04c68dbd-e61b-49a7-aa17-da6b26c9fd29.png?1783924915
"Repository Skaab",VOW,https://cards.scryfall.io/png/front/7/c/7cc22c2a-535a-46b5-817c-da5850abd669.png?1783924886
"Spore Crawler",VOW,https://cards.scryfall.io/png/front/6/2/628dbc4c-3640-44a9-8439-873103989409.png?1783924800
"Sure Strike",VOW,https://cards.scryfall.io/png/front/1/d/1d872736-fafb-44e8-a809-48c5436c665a.png?1783924823
"Wretched Throng",VOW,https://cards.scryfall.io/png/front/e/b/eb3991f0-76b8-4f77-9d67-0e2b11fda750.png?1783924874
"Crawling Infestation",VOW,https://cards.scryfall.io/png/front/0/a/0ab55dae-5393-4356-9f81-66d6ea5d23c0.png?1783924816
"Lambholt Raconteur // Lambholt Ravager",VOW,
"Skulking Killer",VOW,https://cards.scryfall.io/png/front/4/9/497b94b9-c5d7-4e94-87c2-ca1342588d79.png?1783924852
"Howling Moon",VOW,https://cards.scryfall.io/png/front/c/a/ca50b6a5-2e58-4de3-b0e1-0b33536f69a6.png?1783924810
"Band Together",WAR,https://cards.scryfall.io/png/front/4/d/4d1d8aa1-d742-477c-819a-0113912d5011.png?1783933416
"Duskmantle Operative",WAR,https://cards.scryfall.io/png/front/1/6/16eb5a6b-5e69-497c-a0c9-4165ad0f5d0b.png?1783933448
"Invading Manticore",WAR,https://cards.scryfall.io/png/front/6/7/674e408b-f052-451c-9bf9-ac6f98753a9d.png?1783933427
"Jaya's Greeting",WAR,https://cards.scryfall.io/png/front/e/c/ec66f169-5cf9-4d7c-a5ab-c64fc4801358.png?1783933426
"Kaya's Ghostform",WAR,https://cards.scryfall.io/png/front/9/8/98f3be88-24e2-433f-9138-f0cb59d09a0f.png?1783933444
"Pouncing Lynx",WAR,https://cards.scryfall.io/png/front/9/3/9383956f-90bc-40e4-ae5c-503e98e21832.png?1783933478
"Rising Populace",WAR,https://cards.scryfall.io/png/front/e/d/edcacc28-aacf-4d40-b8cc-f8c028380340.png?1783933474
"Thunder Drake",WAR,https://cards.scryfall.io/png/front/f/8/f88a9bc4-1b15-4a91-9376-730d2f5b3336.png?1783933454
"Toll of the Invasion",WAR,https://cards.scryfall.io/png/front/4/4/4471c2a5-aa2c-47e2-8238-1eb366c8adc9.png?1783933438
"Wall of Runes",WAR,https://cards.scryfall.io/png/front/9/6/96613089-3508-429a-9f90-23168d56bbe7.png?1783933453
"Nissa, Who Shakes the World",WAR,https://cards.scryfall.io/png/front/f/8/f857bbe4-5619-4733-a0c7-69700f2ef4f3.png?1783933410
"Heartwarming Redemption",WAR,https://cards.scryfall.io/png/front/a/f/af569235-f5cb-4e3e-ba77-c1c429ed0a60.png?1783933396
"Interplanar Beacon",WAR,https://cards.scryfall.io/png/front/1/3/132d8e2a-e1dd-4867-8e8c-e48b9450b350.png?1783933367
"Jace's Triumph",WAR,https://cards.scryfall.io/png/front/4/9/4924f177-5ee2-4d3f-9603-4b9aef4dac09.png?1783933463
"Greenbelt Rampager",AER,https://cards.scryfall.io/png/front/f/3/f3f06124-bcc4-48c0-a7a6-a461c7485ecd.png?1783936744
"Fatal Push",AER,https://cards.scryfall.io/png/front/b/5/b5e81649-9954-424c-89d1-f87d73b66047.png?1783936764
"Consulate Dreadnought",AER,https://cards.scryfall.io/png/front/1/1/11eff338-1940-4684-94c7-ef90e56dea99.png?1783936730
"Gonti's Machinations",AER,https://cards.scryfall.io/png/front/6/c/6c97f5a9-6e04-45c3-aa8d-dcf0fd81d5b9.png?1783936763
"Ghirapur Osprey",AER,https://cards.scryfall.io/png/front/2/1/2186f382-2d68-4191-b490-a072f49eaabf.png?1783936779
"Prey Upon",AER,https://cards.scryfall.io/png/front/1/6/166f0a2d-d660-4ea2-8b2f-143dc1fc0a8e.png?1783936741
"Bastion Enforcer",AER,https://cards.scryfall.io/png/front/8/8/88b9c0f7-d49b-4d74-9038-44954054ce21.png?1783936782
"Aegis Automaton",AER,https://cards.scryfall.io/png/front/e/5/e5f9fa2d-4bf4-4fcb-9b76-fd4a9ff5a58c.png?1783936731
"Universal Solvent",AER,https://cards.scryfall.io/png/front/2/f/2f1b66b2-12b2-497b-a328-b43630c79e73.png?1783936718
"Daring Demolition",AER,https://cards.scryfall.io/png/front/a/6/a6378898-50b7-47c9-8c25-dc660606be9f.png?1783936765
"Lathnu Sailback",AER,https://cards.scryfall.io/png/front/3/3/33998799-f31b-4522-93b2-0c34c570ebf7.png?1783936752
"Sweatworks Brawler",AER,https://cards.scryfall.io/png/front/b/4/b477d12a-9ba5-4302-a3f0-af0afb5d87f4.png?1783936747
"Aether Swooper",AER,https://cards.scryfall.io/png/front/8/c/8c34dbe3-3a66-40b3-a5c2-c2d6acb47773.png?1783936776
"Consulate Turret",AER,https://cards.scryfall.io/png/front/e/0/e0c55b5b-58fd-4340-b089-8e271633e8dd.png?1783936730
"Forest",AER,
"Ketramose the New Dawn",DFT,
"Explosive Getaway",DFT,https://cards.scryfall.io/png/front/a/8/a876edac-b8c8-4994-94f5-548e0fe70fe4.png?1783907859
"Greenbelt Guardian",DFT,https://cards.scryfall.io/png/front/2/f/2f6b0000-5fd3-483b-bac5-f9b888d8755b.png?1783907870
"Pacesetter Paragon",DFT,https://cards.scryfall.io/png/front/7/3/7364b4dc-8cce-498d-a62e-eabc612b062a.png?1783907879
"Hour of Victory",DFT,https://cards.scryfall.io/png/front/9/1/9192abc8-05a3-4e72-a634-fc5acbe97b26.png?1783907894
"Thunderhead Gunner",DFT,https://cards.scryfall.io/png/front/e/f/ef537868-b2cb-4bbd-a935-b7f73f19bd06.png?1783907876
"Wreck Remover",DFT,https://cards.scryfall.io/png/front/e/3/e3151960-cc0c-47b5-b476-295d7a17ae14.png?1783907845
"Starting Column",DFT,https://cards.scryfall.io/png/front/0/5/0530b343-98c2-440a-b32e-d1566d318c3b.png?1783907846
"Gilded Ghoda",DFT,https://cards.scryfall.io/png/front/5/5/55685602-a18c-43a4-ac60-13b039672fa4.png?1783907881
"Swiftwing Assailant",DFT,https://cards.scryfall.io/png/front/7/2/72db9bb9-d930-40e5-b144-01ebfd377996.png?1783907913
"Beastrider Vanguard",DFT,https://cards.scryfall.io/png/front/f/4/f4b99a61-49f1-46a2-9eb7-b6c88c236215.png?1783907873
"Glitch Ghost Surveyor",DFT,https://cards.scryfall.io/png/front/b/9/b9bb89b9-50dd-4b36-aa10-aba585e50246.png?1783907909
"Pactdoll Terror",DFT,https://cards.scryfall.io/png/front/7/0/70226354-47b7-4f9d-a5a8-559d17f07720.png?1783907891
"Wind-Scarred Crag",DFT,https://cards.scryfall.io/png/front/8/8/882969d8-7e3e-4f32-858a-00da20c67b83.png?1783907837
"Confiscation Coup",KLD,https://cards.scryfall.io/png/front/6/d/6daf453f-54be-4346-831d-a0434aa086fe.png?1783937222
"Refurbish",KLD,https://cards.scryfall.io/png/front/f/6/f60e2ac4-f21f-4232-abc8-db078472408b.png?1783937229
"Ballista Charger",KLD,https://cards.scryfall.io/png/front/f/b/fbd3f376-1075-42c9-91df-80dc2d5faacf.png?1783937163
"Embraal Bruiser",KLD,https://cards.scryfall.io/png/front/5/f/5f90f877-4033-4892-a6e7-22d2b393c65d.png?1783937209
"Peema Outrider",KLD,https://cards.scryfall.io/png/front/2/a/2ab38bd5-64bb-41aa-851b-c6bc6b44bcf0.png?1783937175
"Tasseled Dromedary",KLD,https://cards.scryfall.io/png/front/9/c/9cef3bf2-55cf-4f42-9ec0-fa921ef22311.png?1783937227
"Acrobatic Maneuver",KLD,https://cards.scryfall.io/png/front/7/4/74f92174-f38f-4623-a5f7-f5be7f7dcc9d.png?1783937239
"Prophetic Prism",KLD,https://cards.scryfall.io/png/front/0/6/06450be5-0634-4aef-bda7-4d4fbb9ec00a.png?1783937150
"Fireforger's Puzzleknot",KLD,https://cards.scryfall.io/png/front/7/a/7a1c11ca-c81b-451e-a767-68865827e06d.png?1783937156
"Glassblower's Puzzleknot",KLD,https://cards.scryfall.io/png/front/7/d/7d123031-6702-4d49-a788-42eb6dbc569e.png?1783937154
"Wily Bandar",KLD,https://cards.scryfall.io/png/front/c/a/cac6ece3-9889-47fa-9140-420b4f31dd1b.png?1783937171
"Wind Drake",KLD,https://cards.scryfall.io/png/front/5/e/5e227a63-abea-494e-9d66-6ff0a3da14ca.png?1783937211
"Reckless Fireweaver",KLD,https://cards.scryfall.io/png/front/6/3/63ffac51-62c4-4170-85b3-a43d7cfae7d7.png?1783937190
"Lawless Broker",KLD,https://cards.scryfall.io/png/front/1/b/1b5bfff7-aa23-42ef-af1b-bc3304bd3a17.png?1783937205
"Swamp",KLD,https://cards.scryfall.io/png/front/4/7/4760cdcc-e973-439c-a74a-5cb73b4fa22f.png?1783937139
"Unholy Hunger",ORI,https://cards.scryfall.io/png/front/5/9/5994b7b0-3bca-480b-b265-ed269f15c17e.png?1783938335
"Infectious Bloodlust",ORI,https://cards.scryfall.io/png/front/e/e/ee44df88-45a4-46ef-a8bd-f7fb7b9542b8.png?1783938329
"Llanowar Empath",ORI,https://cards.scryfall.io/png/front/3/6/363bdc8e-7c12-4838-9017-0d5abfc94463.png?1783938321
"Touch of Moonglove",ORI,https://cards.scryfall.io/png/front/b/f/bf659f2f-983c-4a62-a969-4176e5fbe193.png?1783938335
"Boggart Brute",ORI,https://cards.scryfall.io/png/front/9/d/9d735ebf-61a4-4507-9399-6d32c8903ded.png?1783938333
"Aerial Volley",ORI,https://cards.scryfall.io/png/front/c/5/c5178301-f766-48d3-af07-6bd6f822c725.png?1783938325
